#: :filename=/home/mvazquezg/.rbbt/tmp/1242944#:type=:double
#TF	include 	[TFCheckpoint] gene_name	[TFCheckpoint] TFclass_mouse	[TFCheckpoint] Vaquerizas.et.al				[TFCheckpoint] entrez_human	[TFCheckpoint] entrez_rat	[TFCheckpoint] entrez_mouse	[TFCheckpoint] Unirprot_Human	[TFCheckpoint] Uniprot_Rat	[TFCheckpoint] Uniprot_mouse		[TFCheckpoint] synonym	[TFCheckpoint] DbTF	[TFCheckpoint] pubmed_id	[TFCheckpoint] evidence.type	[TFCheckpoint] AnimalTFDB	[TFCheckpoint] DBD	[TFCheckpoint] GOC	[TFCheckpoint] JASPAR	[TFCheckpoint] ORFeome	[TFCheckpoint] Ravasi.et.al	[TFCheckpoint] TcoF.DB	[TFCheckpoint] TFCat	[TFCheckpoint] TFClass_human	[TFCheckpoint] TFclass_mouse	[TFCheckpoint] Vaquerizas.et.al	[TFCheckpoint] pubmed_id.1	[TFCheckpoint] taxon	[TFCheckpoint] present
CEBPZ	x	CCAAT/enhancer binding protein (C/EBP)	0	Vaquerizas et al				10153	362686	12607	Q03701	0	P53569		CBF	yes	2247079	Experimental	0	0	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	2247079	9606	TFCheckpoint
TTF1	x	transcription termination factor	0	Vaquerizas et al				7270	499766	22130	Q15361	0	Q3TQG6		TTF-1	0	0	0	AnimalTFDB	0	0	0	0	0	TcoF-DB	TFCat	0	0	Vaquerizas et al	0	0	TFCheckpoint
ZNF395	x	zinc finger protein 395	0	Vaquerizas et al				55893	305972	380912	Q7L9C8	D3ZPR2	E9Q5N9		HDBP-2	yes	17897615	Experimental	0	0	0	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	17897615	9606	TFCheckpoint
EZH2	x	enhancer of zeste homolog 2 (Drosophila)	0	Vaquerizas et al				2146	312299	14056	Q15910	B5DFE2	Q3TZH6		ENX-1	0	0	0	0	0	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	0	0	TFCheckpoint
SKIL	x	SKI-like oncogene	0	Vaquerizas et al				6498	114208	20482	P12757	D3ZWL1	D3Z7C5		SNO	yes	16442497	Experimental	0	0	GOC	0	0	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	16442497	9606	TFCheckpoint
PREB	x	prolactin regulatory element binding	0	Vaquerizas et al				10113	58842	50907	B5MC98	Q9WTV0	D3Z3S1		SEC12	yes	10194769	Experimental	AnimalTFDB	0	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	10194769	10116	TFCheckpoint
MBD2	x	methyl-CpG binding domain protein 2	0	Vaquerizas et al				8932	680172	17191	Q9UBB5	B0BNM2	Q9Z2E1		DMTASE	0	0	0	AnimalTFDB	DBD	0	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	0	0	TFCheckpoint
NKRF	x	NFKB repressing factor	0	Vaquerizas et al				55922	298316	77286	A3F768	0	Q8BY02		ITBA4	yes	10562553	Experimental	0	0	0	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	10562553	9606	TFCheckpoint
EWSR1	x	Ewing sarcoma breakpoint region 1	0	Vaquerizas et al				2130	289752	14030	Q01844	B1WC50	Q3UGI7		EWS	yes	19305498	Experimental	0	0	GOC	0	0	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	19305498	9606	TFCheckpoint
BCLAF1	x	BCL2-associated transcription factor 1	0	Vaquerizas et al				9774	293017	72567	E9PK91	B1WC16	F8WI22		BTF	yes	17938203	Experimental	0	0	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	17938203	9606	TFCheckpoint
YBX3	x	cold shock domain protein A	TFclass_mouse	Vaquerizas et al				8531	83807	56449	P16989	Q62764	Q68G78		CSDA	yes	20636440	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	TFclass_mouse	Vaquerizas et al	20636440	9606	TFCheckpoint
HMGB2	x	high mobility group box 2	0	Vaquerizas et al				3148	29395	97165	P26583	P52925	P30681		HMG2	0	0	0	AnimalTFDB	0	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	0	0	TFCheckpoint
IFI16	x	interferon	0	Vaquerizas et al				3428	0	15951	Q16666	0	E9QKL6		IFNGIP1	yes	19170058	Experimental	0	0	GOC	0	0	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	19170058	9606	TFCheckpoint
PHF20	x	PHD finger protein 20	0	Vaquerizas et al				51230	311575	228829	Q9BVI0	D3ZQB7	Q8BLG0		C20ORF104	yes	22334668	Experimental	0	DBD	0	0	0	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	22334668	9606	TFCheckpoint
AKNA	x	AT-hook transcription factor	0	Vaquerizas et al				80709	362530	100182	Q64FY1	D3ZLV5	Q80VW7		0	yes	21606955	Experimental	0	0	GOC	0	0	0	0	0	0	0	Vaquerizas et al	21606955	9606	TFCheckpoint
DPF3	x	D4	0	Vaquerizas et al				8110	299186	70127	F8W7T1	0	B5TZD5		CERD4	yes	14769913	Author statement	0	0	GOC	0	ORFeome	Ravasi et al	0	TFCat	0	0	Vaquerizas et al	14769913	0	TFCheckpoint
SUZ12	x	suppressor of zeste 12 homolog (Drosophila)	0	Vaquerizas et al				23512	0	52615	A8K1U9	0	E9PW15		CHET9	yes	15225548	Experimental	0	0	0	0	0	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	15225548	9606	TFCheckpoint
TFDP3	x	transcription factor Dp family	0	Vaquerizas et al				51270	0	0	Q5H9I0	0	0		CT30	yes	17062573	Experimental	AnimalTFDB	0	0	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	17062573	9606	TFCheckpoint
DACH2	x	dachshund homolog 2 (Drosophila)	0	Vaquerizas et al				117154	302333	93837	A8K3I1	0	B1AU60		0	yes	17075071	Experimental	0	0	GOC	0	0	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	17075071	10090	TFCheckpoint
CAMTA1	x	calmodulin binding transcription activator 1	0	Vaquerizas et al				23261	362665	100072	Q9Y6Y1	Q3KQW8	A2A891		CANPMR	yes	21857646	Author statement	AnimalTFDB	DBD	GOC	0	0	0	TcoF-DB	0	0	0	Vaquerizas et al	21857646	9606	TFCheckpoint
TCF20	x	transcription factor 20 (AR1)	0	Vaquerizas et al				6942	366964	21411	Q9UGU0	D3ZG21	Q66JM6		AR1	yes	7760812	Experimental	0	0	0	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	10995766	9606;10090	TFCheckpoint
ZBTB10	x	zinc finger and BTB domain containing 10	0	Vaquerizas et al				65986	80338	229055	Q96DT7	Q9WTY8	E9Q8X5		RINZF	yes	10075714	Experimental	AnimalTFDB	DBD	0	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	10075714	10116	TFCheckpoint
ARHGAP35	x	Rho GTPase activating protein 35	0	Vaquerizas et al				2909	306400	232906	Q9NRY4	0	B2RTN5		GRF-1	yes	1894621	Experimental	AnimalTFDB	0	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	1894621	9606	TFCheckpoint
ZNF804A	x	zinc finger protein 804A	0	Vaquerizas et al				91752	295695	241514	Q7Z570	0	A2AKY4		C2ORF10	yes	22384243	Experimental	0	0	0	0	0	0	0	0	0	0	Vaquerizas et al	22384243	9606	TFCheckpoint
MACC1	x	metastasis associated in colon cancer 1	0	Vaquerizas et al				346389	314539	238455	Q6ZN28	F1LXW4	E9PXX8		7A5	yes	19098908	Experimental	0	0	0	0	0	0	0	0	0	0	Vaquerizas et al	19098908	9606	TFCheckpoint
FAM170A	x	family with sequence similarity 170	0	Vaquerizas et al				340069	498864	225497	A1A519	B1H287	Q66LM6		ZNFD	yes	20162441	Experimental	0	0	GOC	0	0	0	TcoF-DB	0	0	0	Vaquerizas et al	20162441	9606	TFCheckpoint
PARP1	x	poly (ADP-ribose) polymerase 1	0	0				142	25591	11545	P09874	P27008	Q921K2		ADPRT	yes	10023680	Experimental	0	0	0	0	0	Ravasi et al	TcoF-DB	TFCat	0	0	0	10023680	generic	TFCheckpoint
MYEF2	x	myelin expression factor 2	0	0				50804	679712	17876	Q9P2K5	D4AEI5	A2ATP5		HST18564	yes	7534248	Experimental	0	0	0	0	0	Ravasi et al	TcoF-DB	TFCat	0	0	0	7539003	10090	TFCheckpoint
