GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO_ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QZ23	TFE3	enables	GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AEW1|ensembl:ENSMUSP00000076864	9606	Ensembl		F
UniProtKB	A0A024QZG3	ATF5	enables	GO:0043565	sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O70191|ensembl:ENSMUSP00000047771	9606	Ensembl		F
UniProtKB	A0A024QZQ1	SIRT1	enables	GO:0001046	core promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q923E4|ensembl:ENSMUSP00000112595	9606	Ensembl		F
UniProtKB	A0A024R0I7	NHLH2	enables	GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q64221|ensembl:ENSMUSP00000143362	9606	Ensembl		F
UniProtKB	A0A024R0L3	POU2F2	enables	GO:0043565	sequence-specific DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017970	9606	InterPro		F
UniProtKB	A0A024R0L4	ERF	enables	GO:0043565	sequence-specific DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000418	9606	InterPro		F
UniProtKB	A0A024R0P6	FOSB	enables	GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P13346|ensembl:ENSMUSP00000003640	9606	Ensembl		F
UniProtKB	A0A024R0P6	FOSB	enables	GO:0043565	sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D3ZLB7|ensembl:ENSRNOP00000065427	9606	Ensembl		F
UniProtKB	A0A024R0R3	FOXA3	enables	GO:0043565	sequence-specific DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001766|InterPro:IPR018122|InterPro:IPR030456	9606	InterPro		F
UniProtKB	A0A024R0R3	FOXA3	enables	GO:0043565	sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P35584|ensembl:ENSMUSP00000043173	9606	Ensembl		F
