TF	TG	has	has not	exact	rule
	ABCC8		SUR	true 	",ABCC8,,SUR,true "
	ARSE	*ASE		true 	",ARSE,*ASE,,true "
BHLHE23	BHLHE23	*beta4		true 	"BHLHE23,BHLHE23,*beta4,,true "
	BLM	*BS		true 	",BLM,*BS,,true "
ELF1	ELF1	E1BF		true 	"ELF1,ELF1,E1BF,,true "
	IARS	IRS|(IRS)|(IRS)-|IRS-		true 	",IARS,IRS|(IRS)|(IRS)-|IRS-,,true "
	KRT13	(ka13)		true 	",KRT13,(ka13),,true "
LRRFIP1	LRRFIP1	TRP*|trp|Trp		true 	"LRRFIP1,LRRFIP1,TRP*|trp|Trp,,true "
	NME1	NB*|nbs		true 	",NME1,NB*|nbs,,true "
PLAG1	PLAG1	psa		true 	"PLAG1,PLAG1,psa,,true "
SHOX	SHOX	ss*		true 	"SHOX,SHOX,ss*,,true "
SPZ1	SPZ1	tsp1|tsp-1		true 	"SPZ1,SPZ1,tsp1|tsp-1,,true "
	ACTG1	ACT		true 	",ACTG1,ACT,,true "
	ADAMTS13	TTP		true 	",ADAMTS13,TTP,,true "
	ADRB1	 GnRHR|GnRH|mGnRHR|RHR		true 	",ADRB1, GnRHR|GnRH|mGnRHR|RHR,,true "
	AKR1B10	HS I/II		true 	",AKR1B10,HS I/II,,true "
	AKR1B10	akr1b7|arp		true 	",AKR1B10,akr1b7|arp,,true "
	ALDH1A1	E1		true 	",ALDH1A1,E1,,true "
	ANG 	ang2|ang-2|angpt2		true 	",ANG ,ang2|ang-2|angpt2,,true "
ARNTL	ARNTL	TIC		true 	"ARNTL,ARNTL,TIC,,true "
BCL11A	BCL11A	leukemia		true 	"BCL11A,BCL11A,leukemia,,true "
	BEST1	best		true 	",BEST1,best,,true "
BHLHE40	BHLHE40	dec2		true 	"BHLHE40,BHLHE40,dec2,,true "
	C10orf10	fasting&induced		true 	",C10orf10,fasting&induced,,true "
	C9orf3	APO		true 	",C9orf3,APO,,true "
	CALB2	CR		true 	",CALB2,CR,,true "
	CAMK4		kinase|CAM*	true 	",CAMK4,,kinase|CAM*,true "
	CCNE1		cyclin E|cyclin E1|cyclin-E|cyclin-E1|cyclinE|cyclinE1|CCNE	true 	",CCNE1,,cyclin E|cyclin E1|cyclin-E|cyclin-E1|cyclinE|cyclinE1|CCNE,true "
	CDKN3		CDKN3	true 	",CDKN3,,CDKN3,true "
CEBPB	CEBPB	LIP		true 	"CEBPB,CEBPB,LIP,,true "
CEBPZ	CEBPZ	CBF		true 	"CEBPZ,CEBPZ,CBF,,true "
CP	CP	mecp2|CpG		true 	"CP,CP,mecp2|CpG,,true "
CUX1	CUX1	CDP|p100|p110|p75|p200		true 	"CUX1,CUX1,CDP|p100|p110|p75|p200,,true "
	CYCS	CYC		true 	",CYCS,CYC,,true "
DDB2	DDB2	p48		true 	"DDB2,DDB2,p48,,true "
	DIDO1	DIO1		true 	",DIDO1,DIO1,,true "
	DIO1	cyp6d1		true 	",DIO1,cyp6d1,,true "
	DIO3	D3*		true 	",DIO3,D3*,,true "
DLX4	DLX4		dlx(-?\d+)?|homeoprotein|homeodomain	true 	"DLX4,DLX4,,dlx(-?\d+)?|homeoprotein|homeodomain,true "
	DYNAP	full		true 	",DYNAP,full,,true "
	EDAR	DI		true 	",EDAR,DI,,true "
