#: :type=:single
#original (Associated Gene Name)	current (Associated Gene Name)
AES	TLE5
H2AFY2	MACROH2A2
T	TBXT
ACPP	ACP3
ADSS	ADSS2
ADSSL1	ADSS1
AIM1	CRYBG1
ALPPL2	ALPG
ATP5A1	ATP5F1A
ATP5B	ATP5F1B
ATP5H	ATP5PD
ATP5S	DMAC2L
ATPIF1	ATP5IF1
BRE	BABAM2
C10orf10	DEPP1
C10orf11	LRMDA
C10orf2	TWNK
C11orf31	SELENOH
C21orf2	CFAP410
C2orf40	ECRG4
CARS	CARS1
COL4A3BP	CERT1
CTGF	CCN2
CYR61	CCN1
DEC1	BHLHE40
DFNA5	GSDME
DIEXF	UTP25
DYX1C1	DNAAF4
EPRS	EPRS1
FAM132A	C1QTNF12
FAM134C	RETREG3
FAM213A	PRXL2A
FAM57A	TLCD3A
FAM57B	TLCD3B
FAM84A	LRATD1
FYB	FYB1
GAGE7	GAGE12F
GBAS	NIPSNAP2
GGTA1P	GGTA1
GIF	MT3
GUCY1A3	GUCY1A1
GUCY1B3	GUCY1B1
H1F0	H1-0
H2AFX	H2AX
H2AFZ	H2AZ1
H3F3A	H3-3A
H3F3B	H3-3B
HFE2	HJV
HIST1H1B	H1-5
HIST1H1C	H1-2
HIST1H1T	H1-6
HIST1H2AB	H2AC4
HIST1H2AD	H2AC7
HIST1H2AE	H2AC8
HIST1H2AG	H2AC11
HIST1H2AM	H2AC17
HIST1H2BF	H2BC5
HIST1H2BJ	H2BC11
HIST1H3A	H3C1
HIST1H3B	H3C2
HIST1H4D	H4C4
HIST1H4H	H4C8
HIST1H4J	H4C11
HIST1H4L	H4C13
HIST2H2AA3	H2AC18
HIST2H2AB	H2AC21
HIST2H2BE	H2BC21
HIST2H3C	H3C14
HIST2H4A	H4C14
HN1	JPT1
HRASLS	PLAAT1
HSP90AA2	HSP90AA2P
IARS	IARS1
IKBKAP	ELP1
KIAA0101	PCLAF
KIAA0922	TMEM131L
KIAA1524	CIP2A
KIF1BP	KIFBP
KLRAP1	KLRA1P
LARS	LARS1
LECT1	CNMD
LHFP	LHFPL6
LINC00478	LINC02487
LOR	LORICRIN
MARCH7	MARCHF7
MARS	MARS1
MGEA5	OGA
MINA	RIOX2
MKL1	MRTFA
MRE11A	MRE11
MRVI1	IRAG1
MUT	MMUT
NARS	NARS1
NFY	NFYA
NOTCH2NL	NOTCH2NLA
NOV	CCN3
PAPD7	TENT4A
PARK2	PRKN
PLA2G16	PLAAT3
PPP1R2P9	PPP1R2C
PTRF	CAVIN1
RARRES3	PLAAT4
RARS	RARS1
RFWD2	COP1
RN5S1@	RNA5S1
SDPR	CAVIN2
SEPP1	SELENOP
SEPT7	SEPTIN7
SEPT9	SEPTIN9
SEPW1	SELENOW
SNHG23	MEG8
SPG20	SPART
SSFA2	ITPRID2
SSPO	SSPOP
ST5	DENND2B
STRA13	BHLHE40
TCEB3C	ELOA3P
TMEM173	STING1
TMEM27	CLTRN
TMEM5	RXYLT1
TRNAI1	TRI-AAT9-1
TRNAU1	TRU-TCA1-1
TUSC5	TRARG1
TWISTNB	POLR1F
VIMP	SELENOS
WARS	WARS1
WBSCR28	TMEM270
WISP1	CCN4
WISP2	CCN5
WISP3	CCN6
