#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	GO:0140223.Annotations	GO:0140223.Evidence	GO:0003700.Annotations	GO:0003700.Evidence	GO:0003712.Annotations	GO:0003712.Evidence	GO:0043565.Annotations	GO:0043565.Evidence	GO:0006357.Annotations	GO:0006357.Evidence	GO:0000981.Annotations	GO:0000981.Evidence	DBD.present	Lovering_2021.present	ORFeome.present	Ravazi.present	Saeed.present	TFCat.present	animal_tfdb_homo_sapiens.present	animal_tfdb_Homo_sapiens_cofactors.present	animal_tfdb_Mus_musculus.present	animal_tfdb_Mus_musculus_cofactors.present	animal_tfdb_Rattus_norvegicus.present	animal_tfdb_Rattus_norvegicus_cofactors.present	TcoF_human.present	tcof_cotf_human.present	TcoF_mouse.present	tcof_cotf_mouse.present	jaspar_human.present	jaspar_mouse.present	jaspar_rat.present	lambert_2018.present	Vaquerizas.present	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
ADNP	KIAA0784 ADNP1	Activity-dependent neuroprotector homeobox protein 	9606|10090|10116	23394|11538|64622	Q9H2P0|Q9Z103|Q9JKL8	ENSG00000101126|ENSMUSG00000051149|ENSRNOG00000010975	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9H2P0,UniProtKB:Q9Z103,UniProtKB:Q9JKL8&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9H2P0,UniProtKB:Q9Z103,UniProtKB:Q9JKL8&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9H2P0,UniProtKB:Q9Z103,UniProtKB:Q9JKL8&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9H2P0,UniProtKB:Q9Z103,UniProtKB:Q9JKL8&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.8	Homeo domain factors
ADNP2	KIAA0863	Activity-dependent neuroprotector homeobox protein 2 	9606|10090|10116	22850|240442|307236	Q6IQ32|Q8CHC8|A0A0G2JT49	ENSG00000101544|ENSMUSG00000053950|ENSRNOG00000053370	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q6IQ32,UniProtKB:Q8CHC8,UniProtKB:A0A0G2JT49&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007668	NA	NA	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q6IQ32,UniProtKB:Q8CHC8,UniProtKB:A0A0G2JT49&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000501	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q6IQ32,UniProtKB:Q8CHC8,UniProtKB:A0A0G2JT49&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007668	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.8	Homeo domain factors
AEBP1	ACLP	Adipocyte enhancer-binding protein 1 	9606|10090|10116	165|11568|305494	Q8IUX7|Q640N1|A2RUV9	ENSG00000106624|ENSMUSG00000020473|ENSRNOG00000013720	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8IUX7,UniProtKB:Q640N1,UniProtKB:A2RUV9&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8IUX7,UniProtKB:Q640N1,UniProtKB:A2RUV9&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8IUX7,UniProtKB:Q640N1,UniProtKB:A2RUV9&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q8IUX7,UniProtKB:Q640N1,UniProtKB:A2RUV9&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	NA	NA	NA	NA	animal_tfdb_Homo_sapiens_cofactors	NA	animal_tfdb_Mus_musculus_cofactors	NA	animal_tfdb_Rattus_norvegicus_cofactors	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	NA	NA	NA	NA	NA	NA
AEBP2	MGC17922	Zinc finger protein AEBP2 	9606|10090|10116	121536|11569|297705	Q6ZN18|Q9Z248|D3ZED3	ENSG00000139154|ENSMUSG00000030232|ENSRNOG00000008929	NA	NA	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q6ZN18,UniProtKB:Q9Z248,UniProtKB:D3ZED3&geneProductType=protein&goId=GO:0003712&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q6ZN18,UniProtKB:Q9Z248,UniProtKB:D3ZED3&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	NA	NA	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.2	C2H2 zinc finger factors
AFF1	AF-4 AF4 FEL	AF4/FMR2 family member 1 	9606|10090|10116	4299|17355|305152	P51825|O88573|D3ZBU5	ENSG00000172493|ENSMUSG00000029313|ENSRNOG00000002232	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P51825,UniProtKB:O88573,UniProtKB:D3ZBU5&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ravazi	NA	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	NA	Vaquerizas	NA	NA	NA	NA	NA
AFF2	FRAXE	AF4/FMR2 family member 2 	9606|10090|10116	2334|14266|103690302	P51816|O55112|A0A0G2K1Y9	ENSG00000155966|ENSMUSG00000031189|ENSRNOG00000052572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ravazi	NA	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF3	MLLT2-like	AF4/FMR2 family member 3 	9606|10090|10116	3899|16764|363220	P51826|P51827|A0A0G2K1Y7	ENSG00000144218|ENSMUSG00000037138|ENSRNOG00000018830	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P51826,UniProtKB:P51827,UniProtKB:A0A0G2K1Y7&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ravazi	NA	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	NA	Vaquerizas	NA	NA	NA	NA	NA
AFF4	AF5Q31 MCEF	AF4/FMR2 family member 4 	9606|10090|10116	27125|93736|303132	Q9UHB7|Q9ESC8|D3ZSX2	ENSG00000072364|ENSMUSG00000049470|ENSRNOG00000006965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ravazi	NA	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	NA	Vaquerizas	NA	NA	NA	NA	NA
AHCTF1	ELYS	Protein ELYS 	9606|10090|10116	25909|226747|360886	Q8WYP5|Q8CJF7|A0A0G2K160	ENSG00000153207|ENSMUSG00000026491|ENSRNOG00000023541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	NA	NA	NA	NA	NA
AHR	bHLHe76	Aryl hydrocarbon receptor 	9606|10090|10116	196|11622|25690	P35869|P30561|P41738	ENSG00000106546|ENSMUSG00000019256|ENSRNOG00000004342	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P35869,UniProtKB:P30561,UniProtKB:P41738&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P35869,UniProtKB:P30561,UniProtKB:P41738&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P35869,UniProtKB:P30561,UniProtKB:P41738&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P35869,UniProtKB:P30561,UniProtKB:P41738&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	DBD	Lovering_2021	ORFeome	Ravazi	Saeed	TFCat	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	jaspar_mouse	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
